0;868814650963619840
1;868702509019402241
2;868606130603388928
3;868662494457249795
4;868621602673627140
5;868587451983572992
6;868683014204776452
7;868497053793398784
8;868809084350455808
9;869063130235719680
10;868633428060667904
11;868486977389309954
12;865959570266619906
13;865969573245353986
14;869050375382237185
15;868750454934601729
16;868647171821674496
17;865777799532912640
18;866134945160241152
19;868844583366656002
20;868912696447688707
21;868436629207236612
22;867968943746465792
23;865974411748196352
24;866257021300916224
25;867479066756165632
26;865930136826167297
27;868475413361766400
28;866307968412856320
29;865940430516563968
30;868740225136242688
31;865755388355854336
32;868479835726725120
33;868453067972325376
34;868457010941046784
35;865845415131926528
36;869275032811393024
37;866172740818096128
38;866111311092043776
39;867610513764564992
40;866212750850183168
41;866195240289525761
42;865884970446880768
43;866100153098305536
44;866168089716588544
45;866237495230382081
46;866247346170077185
47;866277607763058689
48;865976866099916800
49;868893410526195712
50;865926375089352705
51;868827418219483136
52;866491217143504896
53;866260535662190592
54;868468553351147520
55;869260392702390272
56;866149931836485632
57;866217257508253696
58;865920366140571648
59;869207972265832448
60;868819418163425280
61;866219288578969601
62;866630898715947009
63;869285692786044929
64;868411289005158401
65;865764105730347008
66;865903801659772928
67;868801673736704000
68;866615815411568640
69;869330132162547712
70;868768103345393664
71;866301305651957760
72;868478445516410880
73;865975434164490240
74;866029831791759360
75;866285903202979841
76;869446116999286786
77;868468114626924545
78;869361402418515969
79;868402922576588801
80;868438147180507137
81;865957548586938370
82;867875893531652096
83;865951915653214208
84;866147770729508864
85;869207521378144260
86;868942809092567043
87;866149169316196356
88;868923651764219906
89;868873505970032644
90;867471770244272132
91;866207117740568578
92;868916034941616129
93;865979200091684865
94;868461538297827328
95;865869730753597440
96;868406448828502016
97;865952057450049538
98;869403015999913984
99;868862225653432320
100;868714839786520576
101;868451751556415488
102;868858162903908352
103;868895538783059968
104;866172013005635584
105;868205971813933057
106;865790696804016128
107;865950974267056128
108;869351801610526720
109;867122478082121728
110;868474472633958400
111;868482270394560513
112;869272393864413184
113;868859451352264705
114;866206686440292352
115;868603484341510144
116;868362645417730048
117;869186002086223873
118;865756204953358336
119;865952886232154113
