;time_stamp;Name;Kernel;feature_cnt;type;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;rauc;duration;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
5158;2017_09_25_12:01:57;RandomForest;;;descriptive_features;68.0;67.0;30.0;29.0;22.0;17.0;12.0;8.0;37.29;32.03;65.98;7.1579999999999995;0.73;0.41;0.65;0.73;0.69;0.59;0.27;0.68;0.59;0.63
5159;2017_09_25_12:01:57;AdaBoost;;;descriptive_features;68.0;67.0;30.0;29.0;21.0;15.0;14.0;9.0;35.59;21.79;60.86;0.23800000000000002;0.7;0.48;0.6;0.7;0.65;0.52;0.3;0.62;0.52;0.57
5160;2017_09_25_12:02:04;Vote;;;descriptive_features;68.0;67.0;30.0;29.0;9.0;26.0;3.0;21.0;59.32;19.45;59.83;7.02;0.3;0.1;0.75;0.3;0.43;0.9;0.7;0.55;0.9;0.68
5161;2017_09_25_12:02:04;LogisticRegression;;;descriptive_features;68.0;67.0;30.0;29.0;17.0;14.0;15.0;13.0;28.81;4.95;52.47;0.017;0.57;0.52;0.53;0.57;0.55;0.48;0.43;0.52;0.48;0.5
5162;2017_09_25_12:02:04;GaussianNB;;;descriptive_features;68.0;67.0;30.0;29.0;27.0;7.0;22.0;3.0;45.76;14.29;57.07;0.016;0.9;0.76;0.55;0.9;0.68;0.24;0.1;0.7;0.24;0.36
5163;2017_09_25_12:02:04;MultinomialNB;;;descriptive_features;68.0;67.0;30.0;29.0;12.0;26.0;3.0;18.0;20.34;29.4;64.83;0.016;0.4;0.1;0.8;0.4;0.53;0.9;0.6;0.59;0.9;0.71
5164;2017_09_25_12:02:04;BernoulliNB;;;descriptive_features;68.0;67.0;30.0;29.0;22.0;16.0;13.0;8.0;37.29;28.59;64.25;0.016;0.73;0.45;0.63;0.73;0.68;0.55;0.27;0.67;0.55;0.6
5165;2017_09_25_12:02:04;SVC;linear;;descriptive_features;68.0;67.0;30.0;29.0;21.0;20.0;9.0;9.0;35.59;38.97;69.48;0.022000000000000002;0.7;0.31;0.7;0.7;0.7;0.69;0.3;0.69;0.69;0.69
5166;2017_09_25_12:02:04;SVC;poly;;descriptive_features;68.0;67.0;30.0;29.0;24.0;16.0;13.0;6.0;40.68;35.31;67.59;0.016;0.8;0.45;0.65;0.8;0.72;0.55;0.2;0.73;0.55;0.63
5167;2017_09_25_12:02:04;SVC;rbf;;descriptive_features;68.0;67.0;30.0;29.0;20.0;21.0;8.0;10.0;33.9;39.04;69.54;0.016;0.67;0.28;0.71;0.67;0.69;0.72;0.33;0.68;0.72;0.7
5168;2017_09_25_12:02:04;SVC;sigmoid;;descriptive_features;68.0;67.0;30.0;29.0;18.0;20.0;9.0;12.0;30.51;28.92;64.48;0.016;0.6;0.31;0.67;0.6;0.63;0.69;0.4;0.62;0.69;0.65
5169;2017_09_25_12:02:04;SGD;;;descriptive_features;68.0;67.0;30.0;29.0;8.0;28.0;1.0;22.0;13.56;22.94;61.61;0.02;0.27;0.03;0.89;0.27;0.41;0.97;0.73;0.56;0.97;0.71
5170;2017_09_25_12:02:04;MLP;;;descriptive_features;68.0;67.0;30.0;29.0;27.0;4.0;25.0;3.0;45.76;3.84;51.9;0.031;0.9;0.86;0.52;0.9;0.66;0.14;0.1;0.57;0.14;0.22
5171;2017_09_25_12:02:11;RandomForest;;;descriptive_features;68.0;67.0;30.0;29.0;24.0;16.0;13.0;6.0;40.68;35.31;67.59;7.1160000000000005;0.8;0.45;0.65;0.8;0.72;0.55;0.2;0.73;0.55;0.63
5172;2017_09_25_12:02:12;AdaBoost;;;descriptive_features;68.0;67.0;30.0;29.0;21.0;15.0;14.0;9.0;35.59;21.79;60.86;0.253;0.7;0.48;0.6;0.7;0.65;0.52;0.3;0.62;0.52;0.57
5173;2017_09_25_12:02:19;Vote;;;descriptive_features;68.0;67.0;30.0;29.0;18.0;25.0;4.0;12.0;72.88;46.0;73.1;7.06;0.6;0.14;0.82;0.6;0.69;0.86;0.4;0.68;0.86;0.76
5174;2017_09_25_12:02:19;LogisticRegression;;;descriptive_features;68.0;67.0;30.0;29.0;17.0;14.0;15.0;13.0;28.81;4.95;52.47;0.016;0.57;0.52;0.53;0.57;0.55;0.48;0.43;0.52;0.48;0.5
5175;2017_09_25_12:02:19;GaussianNB;;;descriptive_features;68.0;67.0;30.0;29.0;27.0;7.0;22.0;3.0;45.76;14.29;57.07;0.016;0.9;0.76;0.55;0.9;0.68;0.24;0.1;0.7;0.24;0.36
5176;2017_09_25_12:02:19;MultinomialNB;;;descriptive_features;68.0;67.0;30.0;29.0;12.0;26.0;3.0;18.0;20.34;29.4;64.83;0.016;0.4;0.1;0.8;0.4;0.53;0.9;0.6;0.59;0.9;0.71
5177;2017_09_25_12:02:19;BernoulliNB;;;descriptive_features;68.0;67.0;30.0;29.0;22.0;16.0;13.0;8.0;37.29;28.59;64.25;0.022000000000000002;0.73;0.45;0.63;0.73;0.68;0.55;0.27;0.67;0.55;0.6
5178;2017_09_25_12:02:19;SVC;linear;;descriptive_features;68.0;67.0;30.0;29.0;21.0;20.0;9.0;9.0;35.59;38.97;69.48;0.016;0.7;0.31;0.7;0.7;0.7;0.69;0.3;0.69;0.69;0.69
5179;2017_09_25_12:02:19;SVC;poly;;descriptive_features;68.0;67.0;30.0;29.0;24.0;16.0;13.0;6.0;40.68;35.31;67.59;0.0;0.8;0.45;0.65;0.8;0.72;0.55;0.2;0.73;0.55;0.63
