;name;place_name;promoted_content;query;tweet_volume;url
148;Bonucci;Winnipeg;;Bonucci;71779;http://twitter.com/search?q=Bonucci
149;Oakville;Winnipeg;;Oakville;;http://twitter.com/search?q=Oakville
150;Albion Falls;Winnipeg;;%22Albion+Falls%22;;http://twitter.com/search?q=%22Albion+Falls%22
151;Julie Payette;Winnipeg;;%22Julie+Payette%22;;http://twitter.com/search?q=%22Julie+Payette%22
152;Antarctica;Winnipeg;;Antarctica;128161;http://twitter.com/search?q=Antarctica
153;Kid Rock;Winnipeg;;%22Kid+Rock%22;82321;http://twitter.com/search?q=%22Kid+Rock%22
154;Roger Federer;Winnipeg;;%22Roger+Federer%22;39813;http://twitter.com/search?q=%22Roger+Federer%22
155;Andy Murray;Winnipeg;;%22Andy+Murray%22;69748;http://twitter.com/search?q=%22Andy+Murray%22
156;Lonzo;Winnipeg;;Lonzo;235507;http://twitter.com/search?q=Lonzo
157;Sooke Road;Winnipeg;;%22Sooke+Road%22;;http://twitter.com/search?q=%22Sooke+Road%22
158;Ager Hasan;Winnipeg;;%22Ager+Hasan%22;;http://twitter.com/search?q=%22Ager+Hasan%22
159;Aladdin;Winnipeg;;Aladdin;221755;http://twitter.com/search?q=Aladdin
160;Herbal Therapy;Winnipeg;;%22Herbal+Therapy%22;;http://twitter.com/search?q=%22Herbal+Therapy%22
161;Shia LaBeouf;Winnipeg;;%22Shia+LaBeouf%22;33336;http://twitter.com/search?q=%22Shia+LaBeouf%22
162;#Calstampeders;Winnipeg;;%23Calstampeders;;http://twitter.com/search?q=%23Calstampeders
163;#NationalFrenchFryDay;Winnipeg;;%23NationalFrenchFryDay;15879;http://twitter.com/search?q=%23NationalFrenchFryDay
164;#MyAgeInAPhrase;Winnipeg;;%23MyAgeInAPhrase;;http://twitter.com/search?q=%23MyAgeInAPhrase
165;#Polaris2017;Winnipeg;;%23Polaris2017;;http://twitter.com/search?q=%23Polaris2017
166;#ThursdayThoughts;Winnipeg;;%23ThursdayThoughts;42433;http://twitter.com/search?q=%23ThursdayThoughts
167;#USWomensOpen;Winnipeg;;%23USWomensOpen;;http://twitter.com/search?q=%23USWomensOpen
168;#shapena17;Winnipeg;;%23shapena17;;http://twitter.com/search?q=%23shapena17
169;#MayMacWorldTour;Winnipeg;;%23MayMacWorldTour;99384;http://twitter.com/search?q=%23MayMacWorldTour
170;#ESPYS;Winnipeg;;%23ESPYS;201942;http://twitter.com/search?q=%23ESPYS
171;#NetNeutrality;Winnipeg;;%23NetNeutrality;375271;http://twitter.com/search?q=%23NetNeutrality
172;#90sWereTheBestBecause;Winnipeg;;%2390sWereTheBestBecause;99892;http://twitter.com/search?q=%2390sWereTheBestBecause
173;#RichMovies;Winnipeg;;%23RichMovies;23611;http://twitter.com/search?q=%23RichMovies
174;#StartupFest;Winnipeg;;%23StartupFest;;http://twitter.com/search?q=%23StartupFest
175;#TeenChoice;Winnipeg;;%23TeenChoice;1104480;http://twitter.com/search?q=%23TeenChoice
176;#Suits;Winnipeg;;%23Suits;14092;http://twitter.com/search?q=%23Suits
177;#CanLitPit;Winnipeg;;%23CanLitPit;;http://twitter.com/search?q=%23CanLitPit
178;#BCwildfire;Winnipeg;;%23BCwildfire;;http://twitter.com/search?q=%23BCwildfire
