;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854320356726759424;['61', '%', 'KidPass', 'https', ':', '//t.co/4ubNFLZSKG', 'https', ':', '//t.co/aP2UUxKINJ'];69;9;False;False;False;0;False;0.2608695652173913;False;False;210;39062;785;0;False;True;False;0.0
854320627066556416;['@', 'Gem2Gen14', '@', 'Groupon', 'trouble', '!', 'ordered', '3', 'items', 'none', 'arrived', 'past', '2', 'weeks', 'date', 'ordering'];134;16;False;True;False;0;True;0.03731343283582089;False;False;1579;10670;1110;1126;False;True;True;0.0
854320649006862336;['75', '%', 'Yoga', ',', 'Dance', ',', 'Meditation', 'Classes', 'https', ':', '//t.co/vwt92pENev', 'https', ':', '//t.co/CNxqNwygDi'];97;14;False;False;False;0;False;0.12371134020618557;False;False;137;5260;96;0;False;True;False;0.0
854320866854928386;['@', 'MyCreative_UK', 'Hi', 'sorry', 'trouble', '.', 'Email', 'us', 'sm.support', '@', 'groupon.co.uk', 'we’ll', 'try', 'best', 'resolve', 'matter', '.', 'Thanks', '.', '^L', '.'];137;21;False;False;False;0;True;0.058394160583941604;False;False;2667;33472;20616;3408;True;True;True;0.0
854320867224027136;['@', 'MyCreative_UK', 'Hi', 'Natasha', ',', 'sorry', 'delay', '.', 'Let', 'help', '.', 'Kindly', 'send', 'us', 'direct', 'email', 'sm.support', '@', 'groupon.co.uk', '.', 'Regards', ',', '^J', '.'];132;24;False;False;False;0;True;0.07575757575757576;False;False;2667;33472;20616;3408;True;True;True;0.0
854320876753489920;['loves', 'Groupon', '?', 'https', ':', '//t.co/XeHkT0p8ox'];46;6;False;False;False;0;False;0.10869565217391304;False;False;2287;8766;13165;5710;False;True;True;0.0
854320916238565376;['@', 'Gem2Gen14', '@', 'Groupon', 'trouble-', 'packages', 'delivered', 'think', 'lost', 'faith', 'Groupon', 'usi…', 'https', ':', '//t.co/YAndxYfkuD'];140;15;False;False;False;0;True;0.07142857142857142;False;True;1579;10671;1110;1126;False;True;True;0.0
854321405588115457;['Still', 'searching', 'coupon', 'codes', 'online', '?', 'Honey', 'finds', 'coupon', 'codes', 'stores', 'like', 'Groupon', '!', 'Check', ':', 'https', ':', '//t.co/iBlVv2M4qP'];131;19;True;True;False;0;True;0.061068702290076333;False;False;719;5045;246;271;False;True;False;0.0
854321741547671554;['$', '5', '$', '10', 'Target', 'eGiftCard', '-', 'https', ':', '//t.co/jYviVXAzHd', 'get', 'email', 'inviting', 'purchase', ',', 'denied', '.', '#', 'WTF'];129;19;False;False;False;0;True;0.10077519379844961;True;False;1753;1276;65;151;False;True;False;0.0
854322371888545793;['GROUPON', ':', 'Deductions', 'Deals', '–', '80', '%', '(', 'Apr', '17-18', ')', 'https', ':', '//t.co/F6kqrfSMOK'];80;14;False;False;False;0;False;0.2125;False;False;907;71353;10022;5869;False;True;True;0.0
