;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854326160066580480;['Alibaba', 'Takes', 'Fake', 'Cigarette', 'Tax', 'Stamp', 'Ads', 'https', ':', '//t.co/vM3fz5cClN', '@', 'Investopedia', 'https', ':', '//t.co/CxF0zYsMOA'];112;15;False;False;False;0.0;False;0.16071428571428573;False;False;pos;1.0;2980;2338;1109;489;False;True;True;0.0
854326264915779584;['Love', 'lessons', '#', 'JackMa', '-', 'everyone', 'wants', 'leader', ',', 'requires', 'hard', 'work', 'dedication', 'p…', 'https', ':', '//t.co/ggiacWPlss'];140;17;False;False;False;0.0;True;0.03571428571428571;True;True;neg;1.0;655;215;67;199;False;True;False;0.0
854326905201459200;['#', 'eSports', 'coming', 'Asian', 'Olympics', 'thanks', '#', 'alibaba', 'https', ':', '//t.co/vUsdRkaeqt'];83;11;False;False;False;0.0;False;0.060240963855421686;True;False;neg;1.0;1387;5913;8805;1489;False;True;True;0.0
854327429837471744;"['Apple', ',', 'Netflix', 'PTs', 'Raised', ';', 'Dows', 'McDonalds', 'Upgraded', ';', 'Alibaba', 'Buy', '(', 'GILLIAN', 'RICH/Investor', ""'s"", 'Business', 'Daily', '-…', 'https', ':', '//t.co/WrNBAs9g1h']";132;22;False;False;False;0.0;False;0.22727272727272727;False;False;neg;1.0;1886;49056;324;0;False;True;True;0.0
854329897971363840;['@', 'glugreal', 'factory', 'supply', '.', 'https', ':', '//t.co/5ZIwW5aEXR'];65;8;False;False;False;0.0;True;0.1076923076923077;False;False;pos;1.0;489;224;12;62;False;True;False;0.0
854329943282417668;['@', 'Apple_Joyride', 'factory', 'supply', '.', 'https', ':', '//t.co/5ZIwW5aEXR'];70;8;False;False;False;0.0;True;0.12857142857142856;False;False;pos;1.0;489;225;12;62;False;True;False;0.0
854329988597690369;['@', 'ArtofTagi', '@', 'eBay', 'factory', 'supply', '.', 'https', ':', '//t.co/5ZIwW5aEXR'];72;10;False;False;False;0.0;True;0.1388888888888889;False;False;pos;1.0;489;226;12;62;False;True;False;0.0
854330054968344576;['@', 'best__from', 'factory', 'supply', '.', 'https', ':', '//t.co/5ZIwW5aEXR'];67;8;False;False;False;0.0;True;0.1044776119402985;False;False;pos;1.0;489;227;12;62;False;True;False;0.0
854331263972515840;['Top', '10', 'Companies', 'Behind', '2017', 'Midas', 'List', 'Top', '10', 'Companies', 'Behind', '2017', 'Midas', 'List', ':', 'Alibaba', ',', 'Uber', ',', 'Facebook', ',', '…', 'https', ':', '//t.co/hTJ90uuahB'];139;25;False;False;False;0.0;False;0.12949640287769784;False;False;neg;0.8;1162;83582;463;174;False;True;True;0.0
854331839586209793;"['Top', 'Analyst', 'Upgrades', 'Downgrades', ':', 'Alibaba', ',', 'Apple', ',', 'Match', ',', 'McDonald', ""'s"", 'Netflix', ',', 'Synacor', ',', 'IAC', ',', 'Check', 'Point', ',', 'Str..', 'https', ':', '//t.co/mTnsVojQcx']";136;26;False;False;False;0.0;False;0.14705882352941177;False;False;neg;1.0;2988;264166;93533;10514;False;True;True;0.0
