id;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper
851801297099423744;['***FREE', 'KINDLE', 'EBOOK***', 'Bone', 'Broth', ':', 'Lose', 'Weight', 'Improve', 'Health', 'Nourishing', 'Bone', 'Recipes', 'https', ':', '//t.co/hcaPhAJsH0'];137;16;False;False;False;0.0;False;0.24817518248175183
851801298982674432;"['@', '18Winning', 'read', 'War', 'People', '-', '``', 'Storm', 'Keyes', ""''"", 'intriguing', 'adventure', 'story', 'Venezuela', ',', 'Oil', '&', 'amp', ';', 'Tyranny', '.', 'https', ':', '//t.co/FnITImKMPH']";139;24;False;False;False;0.0;False;0.11510791366906475
851801300329267200;['#', '2000', 'cash', 'loan', 'amazon', 'virtual', 'desktop', 'https', ':', '//t.co/W9oKXK0M43'];62;10;False;False;False;0.0;False;0.08064516129032258
851801300257787904;['Hey', '@', 'BroncoNova', '@', 'Sideorderofsoup', 'Chad', 'helped', 'today', 'amazon', 'support', '.', 'hope', 'said', 'hi', 'guys', '!', 'https', ':', '//t.co/Sti9dc2tCS'];135;19;False;True;False;0.0;True;0.06666666666666667
851801301151338496;"['entered', 'giveaway', 'chance', 'win', '``', 'Zipper', 'Wetsuit', ',', 'Dive', '&', 'amp', ';', 'Sail', 'Women', 'Neopr', '...', ""''"", 'DIVE', '&', 'amp', ';', 'SAIL', '.', 'https', ':', '//t.co/lqZSjgPUoW', '#', 'giveaway']";148;28;False;False;False;0.0;True;0.14189189189189189
851801301579161604;['#', 'UnlikelyHowToBooks', 'Quintessential', 'Republican', 'Guide', 'Effective', 'Legislation', '.', 'https', ':', '//t.co/g06bbeKsn7', 'https', ':', '//t.co/miPTOzps6n', '#', 'giveaway'];139;16;False;False;False;0.0;False;0.10071942446043165
851801302258651136;"['entered', 'giveaway', 'chance', 'win', '``', 'Running', 'Rock', 'Star', '(', 'Brides', '...', ""''"", 'Jami', 'Albright', '(', 'Au', '...', '.', 'https', ':', '//t.co/595kxerwhG', '#', 'giveaway']";140;23;False;False;False;0.0;True;0.07857142857142857
851801301616914432;"['Cool', '!', ""L'Oreal"", 'Paris', 'Super', 'Slim', 'Eyeliner', 'Infallible', ',', 'Black', ',', '0.034', 'oz', '.', '????', ':', 'https', ':', '//t.co/xXgjAe9dtX', 'https', ':', '//t.co/kg8FkpQpnm']";129;22;False;True;False;0.0;False;0.11627906976744186
851801298185973760;['Custom', 'Dish', 'Towel', ',', 'Personalized', 'RV', 'Decor', ',', 'Camper', 'Dish', 'Towel', ',', 'Popup', 'Camper', 'Trailer', ',', 'https', ':', '//t.co/8vmChwmjio', 'https', ':', '//t.co/dvanU9WaUc'];129;22;False;False;False;0.0;False;0.13178294573643412
851801314812190720;['@', 'littledanic', 'Target', 'always', 'dangerous', '?', 'check', 'Amazon', 'next', 'time', 'low', '!'];88;12;False;True;False;0.221;True;0.022727272727272728
