 ftr  97  195  294  479  970  1458 1944 2738
 100  59.41 68.02 56.74 61.32 64.85 64.37 62.89 66.54
 500  59.16 67.68 64.01 68.26 69.94 69.83 71.48 72.25
 1000 56.51 58.38 60.74 69.88 67.66 72.85 72.56 74.20
 3000 51.61 52.29 60.42 62.65 69.41 70.80 72.80 77.73
 5000 53.80 59.81 54.29 63.45 67.88 74.07 74.44 75.90

