"";"Native";"Bytes";"Description"
"144";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E64>";"\xF0\x9F\x9A\x8D";"ONCOMING BUS"
"145";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E65>";"\xF0\x9F\x9A\x8E";"TROLLEYBUS"
"146";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E30>";"\xF0\x9F\x9A\x90";"MINIBUS"
"147";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E34>";"\xF0\x9F\x9A\x94";"ONCOMING POLICE CAR"
"148";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E36>";"\xF0\x9F\x9A\x96";"ONCOMING TAXI"
"149";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E38>";"\xF0\x9F\x9A\x98";"ONCOMING AUTOMOBILE"
"150";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E62>";"\xF0\x9F\x9A\x9B";"ARTICULATED LORRY"
"151";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E63>";"\xF0\x9F\x9A\x9C";"TRACTOR"
"152";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E64>";"\xF0\x9F\x9A\x9D";"MONORAIL"
"153";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E65>";"\xF0\x9F\x9A\x9E";"MOUNTAIN RAILWAY"
"154";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E66>";"\xF0\x9F\x9A\x9F";"SUSPENSION RAILWAY"
"155";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E30>";"\xF0\x9F\x9A\xA0";"MOUNTAIN CABLEWAY"
"156";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E31>";"\xF0\x9F\x9A\xA1";"AERIAL TRAMWAY"
"157";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E33>";"\xF0\x9F\x9A\xA3";"ROWBOAT"
"158";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E36>";"\xF0\x9F\x9A\xA6";"VERTICAL TRAFFIC LIGHT"
"159";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E65>";"\xF0\x9F\x9A\xAE";"PUT LITTER IN ITS PLACE SYMBOL"
"160";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E66>";"\xF0\x9F\x9A\xAF";"DO NOT LITTER SYMBOL"
"161";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E30>";"\xF0\x9F\x9A\xB0";"POTABLE WATER SYMBOL"
"162";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E31>";"\xF0\x9F\x9A\xB1";"NON-POTABLE WATER SYMBOL"
"163";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E33>";"\xF0\x9F\x9A\xB3";"NO BICYCLES"
"164";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E34>";"\xF0\x9F\x9A\xB4";"BICYCLIST"
"165";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E35>";"\xF0\x9F\x9A\xB5";"MOUNTAIN BICYCLIST"
"166";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E37>";"\xF0\x9F\x9A\xB7";"NO PEDESTRIANS"
"167";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E38>";"\xF0\x9F\x9A\xB8";"CHILDREN CROSSING"
"168";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E66>";"\xF0\x9F\x9A\xBF";"SHOWER"
"169";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E62><U+383C><U+3E31>";"\xF0\x9F\x9B\x81";"BATHTUB"
"170";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E62><U+383C><U+3E32>";"\xF0\x9F\x9B\x82";"PASSPORT CONTROL"
"171";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E62><U+383C><U+3E33>";"\xF0\x9F\x9B\x83";"CUSTOMS"
"172";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E62><U+383C><U+3E34>";"\xF0\x9F\x9B\x84";"BAGGAGE CLAIM"
"173";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E62><U+383C><U+3E35>";"\xF0\x9F\x9B\x85";"LEFT LUGGAGE"
"174";"<U+24C2>";"\xE2\x93\x82";"CIRCLED LATIN CAPITAL LETTER M"
"175";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E35><U+623C><U+3E30>";"\xF0\x9F\x85\xB0";"NEGATIVE SQUARED LATIN CAPITAL LETTER A"
"176";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E35><U+623C><U+3E31>";"\xF0\x9F\x85\xB1";"NEGATIVE SQUARED LATIN CAPITAL LETTER B"
"177";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E35><U+623C><U+3E65>";"\xF0\x9F\x85\xBE";"NEGATIVE SQUARED LATIN CAPITAL LETTER O"
"178";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E35><U+623C><U+3E66>";"\xF0\x9F\x85\xBF";"NEGATIVE SQUARED LATIN CAPITAL LETTER P"
"179";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+383C><U+3E65>";"\xF0\x9F\x86\x8E";"NEGATIVE SQUARED AB"
"180";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E31>";"\xF0\x9F\x86\x91";"SQUARED CL"
"181";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E32>";"\xF0\x9F\x86\x92";"SQUARED COOL"
"182";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E33>";"\xF0\x9F\x86\x93";"SQUARED FREE"
"183";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E34>";"\xF0\x9F\x86\x94";"SQUARED ID"
"184";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E35>";"\xF0\x9F\x86\x95";"SQUARED NEW"
"185";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E36>";"\xF0\x9F\x86\x96";"SQUARED NG"
"186";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E37>";"\xF0\x9F\x86\x97";"SQUARED OK"
"187";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E38>";"\xF0\x9F\x86\x98";"SQUARED SOS"
"188";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E39>";"\xF0\x9F\x86\x99";"SQUARED UP WITH EXCLAMATION MARK"
"189";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E61>";"\xF0\x9F\x86\x9A";"SQUARED VS"
"190";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E61>";"\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA";"REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E"
"191";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E37>";"\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7";"REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B"
"192";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33>";"\xF0\x9F\x87\xA8\xF0\x9F\x87\xB3";"REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N"
"193";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E35>";"\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5";"REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P"
"194";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E37>";"\xF0\x9F\x87\xB0\xF0\x9F\x87\xB7";"REGIONAL INDICATOR SYMBOL LETTER K + REGIONAL INDICATOR SYMBOL LETTER R"
"195";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E37>";"\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7";"REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R"
"196";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38>";"\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8";"REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S"
"197";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E39>";"\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9";"REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T"
"198";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38>";"\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8";"REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S"
"199";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61>";"\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA";"REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U"
"200";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31>";"\xF0\x9F\x88\x81";"SQUARED KATAKANA KOKO"
"201";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";"\xF0\x9F\x88\x82";"SQUARED KATAKANA SA"
"202";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E61>";"\xF0\x9F\x88\x9A";"SQUARED CJK UNIFIED IDEOGRAPH-7121"
"203";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E66>";"\xF0\x9F\x88\xAF";"SQUARED CJK UNIFIED IDEOGRAPH-6307"
"204";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E32>";"\xF0\x9F\x88\xB2";"SQUARED CJK UNIFIED IDEOGRAPH-7981"
"205";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E33>";"\xF0\x9F\x88\xB3";"SQUARED CJK UNIFIED IDEOGRAPH-7A7A"
"206";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E34>";"\xF0\x9F\x88\xB4";"SQUARED CJK UNIFIED IDEOGRAPH-5408"
"207";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E35>";"\xF0\x9F\x88\xB5";"SQUARED CJK UNIFIED IDEOGRAPH-6E80"
"208";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E36>";"\xF0\x9F\x88\xB6";"SQUARED CJK UNIFIED IDEOGRAPH-6709"
"209";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E37>";"\xF0\x9F\x88\xB7";"SQUARED CJK UNIFIED IDEOGRAPH-6708"
"210";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E38>";"\xF0\x9F\x88\xB8";"SQUARED CJK UNIFIED IDEOGRAPH-7533"
"211";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E39>";"\xF0\x9F\x88\xB9";"SQUARED CJK UNIFIED IDEOGRAPH-5272"
"212";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E61>";"\xF0\x9F\x88\xBA";"SQUARED CJK UNIFIED IDEOGRAPH-55B6"
"213";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E39><U+393C><U+3E30>";"\xF0\x9F\x89\x90";"CIRCLED IDEOGRAPH ADVANTAGE"
"214";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E39><U+393C><U+3E31>";"\xF0\x9F\x89\x91";"CIRCLED IDEOGRAPH ACCEPT"
"215";"©";"\xC2\xA9";"COPYRIGHT SIGN"
"216";"®";"\xC2\xAE";"REGISTERED SIGN"
"217";"<U+203C>";"\xE2\x80\xBC";"DOUBLE EXCLAMATION MARK"
"218";"<U+2049>";"\xE2\x81\x89";"EXCLAMATION QUESTION MARK"
"219";"8<U+20E3>";"\x38\xE2\x83\xA3";"DIGIT EIGHT + COMBINING ENCLOSING KEYCAP"
"220";"9<U+20E3>";"\x39\xE2\x83\xA3";"DIGIT NINE + COMBINING ENCLOSING KEYCAP"
"221";"7<U+20E3>";"\x37\xE2\x83\xA3";"DIGIT SEVEN + COMBINING ENCLOSING KEYCAP"
"222";"6<U+20E3>";"\x36\xE2\x83\xA3";"DIGIT SIX + COMBINING ENCLOSING KEYCAP"
"223";"1<U+20E3>";"\x31\xE2\x83\xA3";"DIGIT ONE + COMBINING ENCLOSING KEYCAP"
"224";"0<U+20E3>";"\x30\xE2\x83\xA3";"DIGIT ZERO + COMBINING ENCLOSING KEYCAP"
"225";"2<U+20E3>";"\x32\xE2\x83\xA3";"DIGIT TWO + COMBINING ENCLOSING KEYCAP"
"226";"3<U+20E3>";"\x33\xE2\x83\xA3";"DIGIT THREE + COMBINING ENCLOSING KEYCAP"
"227";"5<U+20E3>";"\x35\xE2\x83\xA3";"DIGIT FIVE + COMBINING ENCLOSING KEYCAP"
"228";"4<U+20E3>";"\x34\xE2\x83\xA3";"DIGIT FOUR + COMBINING ENCLOSING KEYCAP"
"229";"#<U+20E3>";"\x23\xE2\x83\xA3";"NUMBER SIGN + COMBINING ENCLOSING KEYCAP"
"230";"™";"\xE2\x84\xA2";"TRADE MARK SIGN"
"231";"<U+2139>";"\xE2\x84\xB9";"INFORMATION SOURCE"
"232";"<U+2194>";"\xE2\x86\x94";"LEFT RIGHT ARROW"
"233";"<U+2195>";"\xE2\x86\x95";"UP DOWN ARROW"
"234";"<U+2196>";"\xE2\x86\x96";"NORTH WEST ARROW"
"235";"<U+2197>";"\xE2\x86\x97";"NORTH EAST ARROW"
"236";"<U+2198>";"\xE2\x86\x98";"SOUTH EAST ARROW"
"237";"<U+2199>";"\xE2\x86\x99";"SOUTH WEST ARROW"
"238";"<U+21A9>";"\xE2\x86\xA9";"LEFTWARDS ARROW WITH HOOK"
"239";"<U+21AA>";"\xE2\x86\xAA";"RIGHTWARDS ARROW WITH HOOK"
"240";"<U+231A>";"\xE2\x8C\x9A";"WATCH"
"241";"<U+231B>";"\xE2\x8C\x9B";"HOURGLASS"
"242";"<U+23E9>";"\xE2\x8F\xA9";"BLACK RIGHT-POINTING DOUBLE TRIANGLE"
"243";"<U+23EA>";"\xE2\x8F\xAA";"BLACK LEFT-POINTING DOUBLE TRIANGLE"
"244";"<U+23EB>";"\xE2\x8F\xAB";"BLACK UP-POINTING DOUBLE TRIANGLE"
"245";"<U+23EC>";"\xE2\x8F\xAC";"BLACK DOWN-POINTING DOUBLE TRIANGLE"
"246";"<U+23F0>";"\xE2\x8F\xB0";"ALARM CLOCK"
"247";"<U+23F3>";"\xE2\x8F\xB3";"HOURGLASS WITH FLOWING SAND"
"248";"<U+25AA>";"\xE2\x96\xAA";"BLACK SMALL SQUARE"
"249";"<U+25AB>";"\xE2\x96\xAB";"WHITE SMALL SQUARE"
"250";"<U+25B6>";"\xE2\x96\xB6";"BLACK RIGHT-POINTING TRIANGLE"
"251";"<U+25C0>";"\xE2\x97\x80";"BLACK LEFT-POINTING TRIANGLE"
"252";"<U+25FB>";"\xE2\x97\xBB";"WHITE MEDIUM SQUARE"
"253";"<U+25FC>";"\xE2\x97\xBC";"BLACK MEDIUM SQUARE"
"254";"<U+25FD>";"\xE2\x97\xBD";"WHITE MEDIUM SMALL SQUARE"
"255";"<U+25FE>";"\xE2\x97\xBE";"BLACK MEDIUM SMALL SQUARE"
"256";"<U+2600>";"\xE2\x98\x80";"BLACK SUN WITH RAYS"
"257";"<U+2601>";"\xE2\x98\x81";"CLOUD"
"258";"<U+260E>";"\xE2\x98\x8E";"BLACK TELEPHONE"
"259";"<U+2611>";"\xE2\x98\x91";"BALLOT BOX WITH CHECK"
"260";"<U+2614>";"\xE2\x98\x94";"UMBRELLA WITH RAIN DROPS"
"261";"<U+2615>";"\xE2\x98\x95";"HOT BEVERAGE"
"262";"<U+261D>";"\xE2\x98\x9D";"WHITE UP POINTING INDEX"
"263";"<U+263A>";"\xE2\x98\xBA";"WHITE SMILING FACE"
"264";"<U+2648>";"\xE2\x99\x88";"ARIES"
"265";"<U+2649>";"\xE2\x99\x89";"TAURUS"
"266";"<U+264A>";"\xE2\x99\x8A";"GEMINI"
"267";"<U+264B>";"\xE2\x99\x8B";"CANCER"
"268";"<U+264C>";"\xE2\x99\x8C";"LEO"
"269";"<U+264D>";"\xE2\x99\x8D";"VIRGO"
"270";"<U+264E>";"\xE2\x99\x8E";"LIBRA"
"271";"<U+264F>";"\xE2\x99\x8F";"SCORPIUS"
"272";"<U+2650>";"\xE2\x99\x90";"SAGITTARIUS"
"273";"<U+2651>";"\xE2\x99\x91";"CAPRICORN"
"274";"<U+2652>";"\xE2\x99\x92";"AQUARIUS"
"275";"<U+2653>";"\xE2\x99\x93";"PISCES"
"276";"<U+2660>";"\xE2\x99\xA0";"BLACK SPADE SUIT"
"277";"<U+2663>";"\xE2\x99\xA3";"BLACK CLUB SUIT"
"278";"<U+2665>";"\xE2\x99\xA5";"BLACK HEART SUIT"
"279";"<U+2666>";"\xE2\x99\xA6";"BLACK DIAMOND SUIT"
"280";"<U+2668>";"\xE2\x99\xA8";"HOT SPRINGS"
"281";"<U+267B>";"\xE2\x99\xBB";"BLACK UNIVERSAL RECYCLING SYMBOL"
"282";"<U+267F>";"\xE2\x99\xBF";"WHEELCHAIR SYMBOL"
"283";"<U+2693>";"\xE2\x9A\x93";"ANCHOR"
"284";"<U+26A0>";"\xE2\x9A\xA0";"WARNING SIGN"
"285";"<U+26A1>";"\xE2\x9A\xA1";"HIGH VOLTAGE SIGN"
"286";"<U+26AA>";"\xE2\x9A\xAA";"MEDIUM WHITE CIRCLE"
"287";"<U+26AB>";"\xE2\x9A\xAB";"MEDIUM BLACK CIRCLE"
"288";"<U+26BD>";"\xE2\x9A\xBD";"SOCCER BALL"
"289";"<U+26BE>";"\xE2\x9A\xBE";"BASEBALL"
"290";"<U+26C4>";"\xE2\x9B\x84";"SNOWMAN WITHOUT SNOW"
"291";"<U+26C5>";"\xE2\x9B\x85";"SUN BEHIND CLOUD"
"292";"<U+26CE>";"\xE2\x9B\x8E";"OPHIUCHUS"
"293";"<U+26D4>";"\xE2\x9B\x94";"NO ENTRY"
"294";"<U+26EA>";"\xE2\x9B\xAA";"CHURCH"
"295";"<U+26F2>";"\xE2\x9B\xB2";"FOUNTAIN"
"296";"<U+26F3>";"\xE2\x9B\xB3";"FLAG IN HOLE"
"297";"<U+26F5>";"\xE2\x9B\xB5";"SAILBOAT"
"298";"<U+26FA>";"\xE2\x9B\xBA";"TENT"
"299";"<U+26FD>";"\xE2\x9B\xBD";"FUEL PUMP"
"300";"<U+2934>";"\xE2\xA4\xB4";"ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS"
"301";"<U+2935>";"\xE2\xA4\xB5";"ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS"
"302";"<U+2B05>";"\xE2\xAC\x85";"LEFTWARDS BLACK ARROW"
"303";"<U+2B06>";"\xE2\xAC\x86";"UPWARDS BLACK ARROW"
"304";"<U+2B07>";"\xE2\xAC\x87";"DOWNWARDS BLACK ARROW"
"305";"<U+2B1B>";"\xE2\xAC\x9B";"BLACK LARGE SQUARE"
"306";"<U+2B1C>";"\xE2\xAC\x9C";"WHITE LARGE SQUARE"
"307";"<U+2B50>";"\xE2\xAD\x90";"WHITE MEDIUM STAR"
"308";"<U+2B55>";"\xE2\xAD\x95";"HEAVY LARGE CIRCLE"
"309";"<U+3030>";"\xE3\x80\xB0";"WAVY DASH"
"310";"<U+303D>";"\xE3\x80\xBD";"PART ALTERNATION MARK"
"311";"<U+3297>";"\xE3\x8A\x97";"CIRCLED IDEOGRAPH CONGRATULATION"
"312";"<U+3299>";"\xE3\x8A\x99";"CIRCLED IDEOGRAPH SECRET"
"313";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E30><U+383C><U+3E34>";"\xF0\x9F\x80\x84";"MAHJONG TILE RED DRAGON"
"314";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E33><U+383C><U+3E66>";"\xF0\x9F\x83\x8F";"PLAYING CARD BLACK JOKER"
"315";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E30>";"\xF0\x9F\x8C\x80";"CYCLONE"
"316";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E31>";"\xF0\x9F\x8C\x81";"FOGGY"
"317";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E32>";"\xF0\x9F\x8C\x82";"CLOSED UMBRELLA"
"318";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E33>";"\xF0\x9F\x8C\x83";"NIGHT WITH STARS"
"319";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E34>";"\xF0\x9F\x8C\x84";"SUNRISE OVER MOUNTAINS"
"320";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E35>";"\xF0\x9F\x8C\x85";"SUNRISE"
"321";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E36>";"\xF0\x9F\x8C\x86";"CITYSCAPE AT DUSK"
"322";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E37>";"\xF0\x9F\x8C\x87";"SUNSET OVER BUILDINGS"
"323";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E38>";"\xF0\x9F\x8C\x88";"RAINBOW"
