"";"Native";"Bytes";"Description"
"30";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E61>";"\xF0\x9F\x98\xAA";"SLEEPY FACE"
"31";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E62>";"\xF0\x9F\x98\xAB";"TIRED FACE"
"32";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64>";"\xF0\x9F\x98\xAD";"LOUDLY CRYING FACE"
"33";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E30>";"\xF0\x9F\x98\xB0";"FACE WITH OPEN MOUTH AND COLD SWEAT"
"34";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31>";"\xF0\x9F\x98\xB1";"FACE SCREAMING IN FEAR"
"35";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E32>";"\xF0\x9F\x98\xB2";"ASTONISHED FACE"
"36";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E33>";"\xF0\x9F\x98\xB3";"FLUSHED FACE"
"37";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E35>";"\xF0\x9F\x98\xB5";"DIZZY FACE"
"38";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E37>";"\xF0\x9F\x98\xB7";"FACE WITH MEDICAL MASK"
"39";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E38>";"\xF0\x9F\x98\xB8";"GRINNING CAT FACE WITH SMILING EYES"
"40";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E39>";"\xF0\x9F\x98\xB9";"CAT FACE WITH TEARS OF JOY"
"41";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E61>";"\xF0\x9F\x98\xBA";"SMILING CAT FACE WITH OPEN MOUTH"
"42";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E62>";"\xF0\x9F\x98\xBB";"SMILING CAT FACE WITH HEART-SHAPED EYES"
"43";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E63>";"\xF0\x9F\x98\xBC";"CAT FACE WITH WRY SMILE"
"44";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E64>";"\xF0\x9F\x98\xBD";"KISSING CAT FACE WITH CLOSED EYES"
"45";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E65>";"\xF0\x9F\x98\xBE";"POUTING CAT FACE"
"46";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E66>";"\xF0\x9F\x98\xBF";"CRYING CAT FACE"
"47";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E30>";"\xF0\x9F\x99\x80";"WEARY CAT FACE"
"48";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E35>";"\xF0\x9F\x99\x85";"FACE WITH NO GOOD GESTURE"
"49";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E36>";"\xF0\x9F\x99\x86";"FACE WITH OK GESTURE"
"50";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E37>";"\xF0\x9F\x99\x87";"PERSON BOWING DEEPLY"
"51";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E38>";"\xF0\x9F\x99\x88";"SEE-NO-EVIL MONKEY"
"52";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E39>";"\xF0\x9F\x99\x89";"HEAR-NO-EVIL MONKEY"
"53";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E61>";"\xF0\x9F\x99\x8A";"SPEAK-NO-EVIL MONKEY"
"54";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E62>";"\xF0\x9F\x99\x8B";"HAPPY PERSON RAISING ONE HAND"
"55";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63>";"\xF0\x9F\x99\x8C";"PERSON RAISING BOTH HANDS IN CELEBRATION"
"56";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E64>";"\xF0\x9F\x99\x8D";"PERSON FROWNING"
"57";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E65>";"\xF0\x9F\x99\x8E";"PERSON WITH POUTING FACE"
"58";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E66>";"\xF0\x9F\x99\x8F";"PERSON WITH FOLDED HANDS"
"59";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30>";"\xF0\x9F\x98\x80";"GRINNING FACE"
"60";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E37>";"\xF0\x9F\x98\x87";"SMILING FACE WITH HALO"
"61";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E38>";"\xF0\x9F\x98\x88";"SMILING FACE WITH HORNS"
"62";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>";"\xF0\x9F\x98\x8E";"SMILING FACE WITH SUNGLASSES"
"63";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E30>";"\xF0\x9F\x98\x90";"NEUTRAL FACE"
"64";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E31>";"\xF0\x9F\x98\x91";"EXPRESSIONLESS FACE"
"65";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E35>";"\xF0\x9F\x98\x95";"CONFUSED FACE"
"66";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E37>";"\xF0\x9F\x98\x97";"KISSING FACE"
"67";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E39>";"\xF0\x9F\x98\x99";"KISSING FACE WITH SMILING EYES"
