;num_stop_words;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;retweet_count;urls_wiki;urls_moz;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;msg_p_day;label
875734716594257920;7;False;137;12;False;False;False;0.0;False;0.044;True;0.0;False;False;2562;595;132;304;False;True;True;0.232;1
869132629311840256;2;False;139;15;False;False;False;0.0;False;0.165;True;0.0;False;False;1956;805627;1148;5;False;True;True;411.875;2
874980080811900928;7;False;109;8;False;False;False;0.0;False;0.101;False;0.0;False;False;587;441;109;166;False;True;True;0.751;1
870011031518453760;3;False;121;6;False;False;False;0.0;False;0.132;True;0.0;True;False;175;6209;7348;6413;False;True;True;35.48;1
882973374615613442;8;False;74;7;False;False;False;0.0;False;0.068;False;0.0;False;False;2415;14692;286;1769;False;True;False;6.084;2
869136035657076736;3;False;86;5;False;False;False;0.0;False;0.221;False;0.0;False;True;1345;438348;1634;55;False;True;True;325.909;1
874982045683986432;4;False;101;8;False;False;False;0.0;False;0.149;True;1.0;False;False;3086;374;318;189;False;True;True;0.121;1
879986926010458113;3;False;116;14;False;False;False;0.0;True;0.034;False;0.0;False;False;1869;2126;103;24;False;True;True;1.138;2
882974243998269441;4;False;118;12;False;False;False;0.0;False;0.102;False;0.0;False;False;3112;869;119;164;False;True;False;0.279;2
862293201595576320;3;False;97;7;False;False;False;0.0;False;0.134;False;0.0;False;False;3582;15912;7469;5370;False;True;True;4.442;1
874987542281465860;4;False;89;10;False;False;False;0.0;False;0.022;True;0.0;False;False;2742;4762;828;1227;False;True;True;1.737;1
869127422364585984;6;False;116;10;False;False;False;0.0;False;0.121;False;0.0;True;False;2331;17875;3231;1949;False;True;True;7.668;2
869125954215587840;9;False;135;10;False;True;False;0.0;True;0.074;True;3.0;False;False;1425;20688;324;3223;False;True;False;14.518;2
869128762042060800;6;False;126;12;False;True;False;0.0;True;0.087;True;0.0;True;False;1934;38436;14000;14043;False;True;True;19.874;2
879982384631881728;2;False;65;2;False;False;False;0.0;False;0.154;False;2.0;True;False;1218;22230;2431;1586;False;True;True;18.251;2
860779237267169280;4;False;126;10;False;False;False;0.0;False;0.19;False;0.0;True;False;229;243;30;252;False;True;True;1.061;1
878192432545968128;5;False;132;12;False;False;False;0.0;False;0.129;False;0.0;False;False;3855;10063;2202;1217;False;True;True;2.61;1
879942660185772032;2;False;138;11;False;False;False;0.0;False;0.246;True;1.0;True;False;3068;167160;20507;16006;False;True;True;54.485;2
870117595214729220;4;False;134;11;False;True;False;0.0;False;0.052;False;79.0;True;False;3398;17792;107666;2638;True;True;True;5.236;1
870009773885980673;3;False;139;11;False;False;False;0.0;False;0.094;True;0.0;False;False;1378;50629;1055;541;False;True;True;36.741;1
869045681192935425;3;False;137;13;False;False;False;0.0;False;0.168;False;4.0;False;False;3147;640;90;240;False;True;False;0.203;1
869135053028196352;14;False;140;11;False;True;True;0.0;True;0.136;False;0.0;True;False;1061;18016;3089;2962;False;True;True;16.98;2
879987532812828672;4;False;142;8;False;False;False;0.0;True;0.218;True;0.0;True;False;1553;12102;364;24;False;True;False;7.793;2
868965137494966272;9;False;136;11;False;False;False;0.0;True;0.25;True;3.0;True;False;1991;1176;255;109;False;True;True;0.591;2
882935089138675712;2;False;105;9;False;False;False;0.0;False;0.124;True;0.0;False;False;1080;90167;1199;657;False;True;True;83.488;2
862291859292528641;3;False;79;7;False;False;False;0.0;False;0.152;False;0.0;False;False;322;3055;4;62;False;True;False;9.488;1
874554915041017856;4;False;87;8;False;False;False;0.0;False;0.092;False;0.0;False;False;748;7568;27;7;False;True;True;10.118;1
883266383928111104;6;False;140;11;False;False;False;0.0;False;0.107;False;0.0;False;False;231;131698;310;723;False;True;False;570.121;2
879985976629747712;6;False;133;9;False;False;False;0.0;False;0.135;True;1.0;False;False;2272;848359;170197;132704;False;True;True;373.397;2
870011265002999811;4;False;78;6;False;False;False;0.0;False;0.077;False;0.0;False;False;3348;7280;67210;3485;False;True;True;2.174;1
874987544076840961;7;False;144;13;False;False;False;0.0;True;0.097;True;0.0;False;False;1271;6875;631;291;False;True;True;5.409;1
869126416205463553;1;False;43;3;False;False;False;0.0;False;0.209;False;0.0;False;False;1050;148615;5;20;False;True;True;141.538;2
868627465769562114;4;False;135;6;False;False;False;0.0;False;0.348;True;14.0;True;False;1213;849357;132492;124255;False;True;True;700.212;1
868461538297827328;8;False;140;13;False;False;False;0.0;False;0.043;True;46.0;True;False;3800;32444;167062;5153;True;True;True;8.538;1
869132743120109568;2;False;135;13;False;False;False;0.0;False;0.156;True;0.0;False;False;1956;805627;1148;5;False;True;True;411.875;2
875729735812354050;6;False;120;8;False;False;False;0.0;False;0.133;True;2.0;False;False;2726;47430;347718;912;True;True;True;17.399;1
860201710895079425;6;False;131;10;True;False;False;0.0;False;0.099;False;585.0;False;False;556;1086;26561;5;True;True;True;1.953;1
869003106649948160;5;False;139;11;False;False;False;0.0;True;0.18;True;1.0;True;False;2350;1407;576;673;False;True;False;0.599;2
882974197554610177;2;False;104;6;False;False;False;0.0;False;0.087;True;0.0;False;False;1151;167769;26;0;False;True;False;145.759;2
862288176097964032;5;False;124;8;False;False;False;0.0;False;0.097;True;0.0;False;False;1080;90167;1199;657;False;True;True;83.488;1
869127691592753152;3;False;106;11;False;False;False;0.0;False;0.132;True;0.0;False;False;1332;81090;532;1;False;True;True;60.878;1
882864492715139076;4;False;134;10;False;False;False;0.0;False;0.127;False;1.0;True;False;3124;25844;2652318;154;True;True;True;8.273;2
874918711681011712;4;False;108;12;False;False;False;0.0;False;0.093;False;2.0;False;False;1440;6123;24617;1064;True;True;True;4.252;1
835094878967246848;7;False;139;7;False;False;False;0.0;False;0.144;True;17.0;True;False;2113;4318;1763;3642;False;True;True;2.044;2
875734288611786753;9;False;140;12;False;False;False;0.0;False;0.129;False;0.0;True;False;3042;61;37;102;False;True;False;0.02;1
868128141331623937;5;False;137;5;False;False;False;0.0;True;0.109;False;4.0;True;False;2602;24272;5779;1133;True;True;True;9.328;2
875733840026890240;5;False;139;13;False;False;False;0.0;False;0.122;False;1.0;False;False;929;385169;2159;75;False;True;True;414.606;1
879987383009202176;3;False;122;12;False;False;False;0.0;True;0.18;True;0.0;False;False;2999;441596;4147;4946;False;True;True;147.248;2
883266161936404481;4;False;132;9;False;False;False;0.0;True;0.136;True;0.0;True;False;1680;309027;16397;15538;False;True;True;183.945;2
876703610922344448;4;False;104;8;False;False;False;0.0;False;0.087;False;3.0;False;False;2887;25104;19381;155;False;True;True;8.696;1
883046160830779392;8;False;133;10;False;True;False;0.0;True;0.068;True;56.0;False;False;2898;245693;23973;21350;False;True;True;84.78;2
