;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
26;2017_08_02_07:50:50;LinearSVC;982.0;7700.0;410.0;3312.0;214.0;3140.0;172.0;196.0;90.11;48.24;0.52;0.05;0.55;0.52;0.53;0.95;0.48;0.94;0.95;0.94
27;2017_08_02_07:50:50;LinearSVC;982.0;7700.0;410.0;3312.0;214.0;3140.0;172.0;196.0;90.11;48.24;0.52;0.05;0.55;0.52;0.53;0.95;0.48;0.94;0.95;0.94
28;2017_08_02_07:50:50;SGD;982.0;7700.0;410.0;3312.0;193.0;3195.0;117.0;217.0;91.03;48.75;0.47;0.04;0.62;0.47;0.53;0.96;0.53;0.94;0.96;0.95
29;2017_08_02_07:50:50;MLP;982.0;7700.0;410.0;3312.0;154.0;3248.0;64.0;256.0;91.4;44.82;0.38;0.02;0.71;0.38;0.5;0.98;0.62;0.93;0.98;0.95
30;2017_08_02_07:50:50;RandomForest;982.0;7700.0;410.0;3312.0;166.0;3231.0;81.0;244.0;91.27;46.07;0.4;0.02;0.67;0.4;0.5;0.98;0.6;0.93;0.98;0.95
31;2017_08_02_07:50:50;AdaBoost;982.0;7700.0;410.0;3312.0;112.0;3238.0;74.0;298.0;90.01;32.98;0.27;0.02;0.6;0.27;0.37;0.98;0.73;0.92;0.98;0.95
32;2017_08_02_07:50:50;Vote;982.0;7700.0;410.0;3312.0;195.0;3219.0;93.0;215.0;91.72;51.46;0.48;0.03;0.68;0.48;0.56;0.97;0.52;0.94;0.97;0.95
33;2017_08_01_21:12:43;LogisticRegression;978.0;7704.0;414.0;3308.0;188.0;3234.0;74.0;226.0;91.94;51.43;0.45;0.02;0.72;0.45;0.55;0.98;0.55;0.93;0.98;0.95
34;2017_08_01_21:12:43;NaiveBayes;978.0;7704.0;414.0;3308.0;284.0;3085.0;223.0;130.0;90.52;56.32;0.69;0.07;0.56;0.69;0.62;0.93;0.31;0.96;0.93;0.94
35;2017_08_01_21:12:43;MultinomialNB;978.0;7704.0;414.0;3308.0;302.0;3053.0;255.0;112.0;90.14;56.68;0.73;0.08;0.54;0.73;0.62;0.92;0.27;0.96;0.92;0.94
36;2017_08_01_21:12:43;BernoulliNB;978.0;7704.0;414.0;3308.0;232.0;3173.0;135.0;182.0;91.48;54.67;0.56;0.04;0.63;0.56;0.59;0.96;0.44;0.95;0.96;0.95
37;2017_08_01_21:12:43;LinearSVC;978.0;7704.0;414.0;3308.0;236.0;3136.0;172.0;178.0;90.6;52.14;0.57;0.05;0.58;0.57;0.57;0.95;0.43;0.95;0.95;0.95
38;2017_08_01_21:12:43;LinearSVC;978.0;7704.0;414.0;3308.0;236.0;3136.0;172.0;178.0;90.6;52.14;0.57;0.05;0.58;0.57;0.57;0.95;0.43;0.95;0.95;0.95
39;2017_08_01_21:12:43;SGD;978.0;7704.0;414.0;3308.0;231.0;3147.0;161.0;183.0;90.76;52.14;0.56;0.05;0.59;0.56;0.57;0.95;0.44;0.95;0.95;0.95
40;2017_08_01_21:12:43;MLP;978.0;7704.0;414.0;3308.0;132.0;3265.0;43.0;282.0;91.27;40.92;0.32;0.01;0.75;0.32;0.45;0.99;0.68;0.92;0.99;0.95
41;2017_08_01_21:12:43;RandomForest;978.0;7704.0;414.0;3308.0;166.0;3215.0;93.0;248.0;90.84;44.59;0.4;0.03;0.64;0.4;0.49;0.97;0.6;0.93;0.97;0.95
