;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
627;2017_08_02_14:04:15;RandomForest;953.0;990.0;438.0;395.0;328.0;353.0;42.0;110.0;81.75;63.71;0.75;0.11;0.89;0.75;0.81;0.89;0.25;0.76;0.89;0.82
628;2017_08_02_14:04:15;AdaBoost;953.0;990.0;438.0;395.0;248.0;361.0;34.0;190.0;73.11;47.1;0.57;0.09;0.88;0.57;0.69;0.91;0.43;0.66;0.91;0.77
629;2017_08_02_14:04:15;Vote;953.0;990.0;438.0;395.0;367.0;348.0;47.0;71.0;85.83;71.68;0.84;0.12;0.89;0.84;0.86;0.88;0.16;0.83;0.88;0.85
630;2017_08_02_13:47:26;LogisticRegression;989.0;954.0;402.0;431.0;327.0;357.0;74.0;75.0;82.11;64.18;0.81;0.17;0.82;0.81;0.81;0.83;0.19;0.83;0.83;0.83
631;2017_08_02_13:47:26;NaiveBayes;989.0;954.0;402.0;431.0;359.0;357.0;74.0;43.0;85.95;71.95;0.89;0.17;0.83;0.89;0.86;0.83;0.11;0.89;0.83;0.86
632;2017_08_02_13:47:26;MultinomialNB;989.0;954.0;402.0;431.0;359.0;349.0;82.0;43.0;84.99;70.05;0.89;0.19;0.81;0.89;0.85;0.81;0.11;0.89;0.81;0.85
633;2017_08_02_13:47:26;BernoulliNB;989.0;954.0;402.0;431.0;361.0;345.0;86.0;41.0;84.75;69.59;0.9;0.2;0.81;0.9;0.85;0.8;0.1;0.89;0.8;0.84
634;2017_08_02_13:47:26;LinearSVC;989.0;954.0;402.0;431.0;333.0;356.0;75.0;69.0;82.71;65.4;0.83;0.17;0.82;0.83;0.82;0.83;0.17;0.84;0.83;0.83
635;2017_08_02_13:47:26;SVC;989.0;954.0;402.0;431.0;333.0;355.0;76.0;69.0;82.59;65.16;0.83;0.18;0.81;0.83;0.82;0.82;0.17;0.84;0.82;0.83
636;2017_08_02_13:47:26;SVC;989.0;954.0;402.0;431.0;402.0;0.0;431.0;0.0;48.26;0.0;1.0;1.0;0.48;1.0;0.65;0.0;0.0;0.0;0.0;0.0
637;2017_08_02_13:47:26;SVC;989.0;954.0;402.0;431.0;402.0;15.0;416.0;0.0;50.06;3.36;1.0;0.97;0.49;1.0;0.66;0.03;0.0;1.0;0.03;0.06
638;2017_08_02_13:47:26;SVC;989.0;954.0;402.0;431.0;322.0;331.0;100.0;80.0;78.39;56.8;0.8;0.23;0.76;0.8;0.78;0.77;0.2;0.81;0.77;0.79
