;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
706;2017_08_02_11:45:34;SVC;975.0;968.0;416.0;417.0;416.0;0.0;417.0;0.0;49.94;0.0;1.0;1.0;0.5;1.0;0.67;0.0;0.0;0.0;0.0;0.0
707;2017_08_02_11:45:34;SVC;975.0;968.0;416.0;417.0;10.0;417.0;0.0;406.0;51.26;2.41;0.02;0.0;1.0;0.02;0.04;1.0;0.98;0.51;1.0;0.68
708;2017_08_02_11:45:34;SVC;975.0;968.0;416.0;417.0;322.0;335.0;82.0;94.0;78.87;57.74;0.77;0.2;0.8;0.77;0.78;0.8;0.23;0.78;0.8;0.79
709;2017_08_02_11:45:34;SGD;975.0;968.0;416.0;417.0;347.0;330.0;87.0;69.0;81.27;62.55;0.83;0.21;0.8;0.83;0.81;0.79;0.17;0.83;0.79;0.81
710;2017_08_02_11:45:34;MLP;975.0;968.0;416.0;417.0;347.0;362.0;55.0;69.0;85.11;70.23;0.83;0.13;0.86;0.83;0.84;0.87;0.17;0.84;0.87;0.85
711;2017_08_02_11:45:34;RandomForest;975.0;968.0;416.0;417.0;315.0;368.0;49.0;101.0;81.99;63.98;0.76;0.12;0.87;0.76;0.81;0.88;0.24;0.78;0.88;0.83
712;2017_08_02_11:45:34;AdaBoost;975.0;968.0;416.0;417.0;231.0;395.0;22.0;185.0;75.15;50.28;0.56;0.05;0.91;0.56;0.69;0.95;0.44;0.68;0.95;0.79
713;2017_08_02_11:45:34;Vote;975.0;968.0;416.0;417.0;352.0;357.0;60.0;64.0;85.11;70.23;0.85;0.14;0.85;0.85;0.85;0.86;0.15;0.85;0.86;0.85
714;2017_08_02_11:29:17;LogisticRegression;979.0;964.0;412.0;421.0;348.0;361.0;60.0;64.0;85.11;70.22;0.84;0.14;0.85;0.84;0.84;0.86;0.16;0.85;0.86;0.85
715;2017_08_02_11:29:17;NaiveBayes;979.0;964.0;412.0;421.0;378.0;346.0;75.0;34.0;86.91;73.85;0.92;0.18;0.83;0.92;0.87;0.82;0.08;0.91;0.82;0.86
716;2017_08_02_11:29:17;MultinomialNB;979.0;964.0;412.0;421.0;378.0;341.0;80.0;34.0;86.31;72.66;0.92;0.19;0.83;0.92;0.87;0.81;0.08;0.91;0.81;0.86
717;2017_08_02_11:29:17;BernoulliNB;979.0;964.0;412.0;421.0;379.0;340.0;81.0;33.0;86.31;72.66;0.92;0.19;0.82;0.92;0.87;0.81;0.08;0.91;0.81;0.86
718;2017_08_02_11:29:17;LinearSVC;979.0;964.0;412.0;421.0;346.0;348.0;73.0;66.0;83.31;66.63;0.84;0.17;0.83;0.84;0.83;0.83;0.16;0.84;0.83;0.83
719;2017_08_02_11:29:17;SVC;979.0;964.0;412.0;421.0;343.0;346.0;75.0;69.0;82.71;65.43;0.83;0.18;0.82;0.83;0.82;0.82;0.17;0.83;0.82;0.82
720;2017_08_02_11:29:17;SVC;979.0;964.0;412.0;421.0;412.0;0.0;421.0;0.0;49.46;0.0;1.0;1.0;0.49;1.0;0.66;0.0;0.0;0.0;0.0;0.0
721;2017_08_02_11:29:17;SVC;979.0;964.0;412.0;421.0;412.0;8.0;413.0;0.0;50.42;1.88;1.0;0.98;0.5;1.0;0.67;0.02;0.0;1.0;0.02;0.04
722;2017_08_02_11:29:17;SVC;979.0;964.0;412.0;421.0;332.0;317.0;104.0;80.0;77.91;55.84;0.81;0.25;0.76;0.81;0.78;0.75;0.19;0.8;0.75;0.77
723;2017_08_02_11:29:17;SGD;979.0;964.0;412.0;421.0;324.0;364.0;57.0;88.0;82.59;65.15;0.79;0.14;0.85;0.79;0.82;0.86;0.21;0.81;0.86;0.83
724;2017_08_02_11:29:17;MLP;979.0;964.0;412.0;421.0;352.0;360.0;61.0;60.0;85.47;70.95;0.85;0.14;0.85;0.85;0.85;0.86;0.15;0.86;0.86;0.86
725;2017_08_02_11:29:17;RandomForest;979.0;964.0;412.0;421.0;329.0;368.0;53.0;83.0;83.67;67.32;0.8;0.13;0.86;0.8;0.83;0.87;0.2;0.82;0.87;0.84
726;2017_08_02_11:29:17;AdaBoost;979.0;964.0;412.0;421.0;251.0;378.0;43.0;161.0;75.51;50.86;0.61;0.1;0.85;0.61;0.71;0.9;0.39;0.7;0.9;0.79
727;2017_08_02_11:29:17;Vote;979.0;964.0;412.0;421.0;349.0;361.0;60.0;63.0;85.23;70.46;0.85;0.14;0.85;0.85;0.85;0.86;0.15;0.85;0.86;0.85
728;2017_08_02_11:13:48;LogisticRegression;955.0;988.0;436.0;397.0;353.0;350.0;47.0;83.0;84.39;68.85;0.81;0.12;0.88;0.81;0.84;0.88;0.19;0.81;0.88;0.84
729;2017_08_02_11:13:48;NaiveBayes;955.0;988.0;436.0;397.0;386.0;331.0;66.0;50.0;86.07;72.04;0.89;0.17;0.85;0.89;0.87;0.83;0.11;0.87;0.83;0.85
730;2017_08_02_11:13:48;MultinomialNB;955.0;988.0;436.0;397.0;388.0;326.0;71.0;48.0;85.71;71.29;0.89;0.18;0.85;0.89;0.87;0.82;0.11;0.87;0.82;0.84
731;2017_08_02_11:13:48;BernoulliNB;955.0;988.0;436.0;397.0;387.0;330.0;67.0;49.0;86.07;72.03;0.89;0.17;0.85;0.89;0.87;0.83;0.11;0.87;0.83;0.85
732;2017_08_02_11:13:48;LinearSVC;955.0;988.0;436.0;397.0;337.0;341.0;56.0;99.0;81.39;62.88;0.77;0.14;0.86;0.77;0.81;0.86;0.23;0.78;0.86;0.82
733;2017_08_02_11:13:48;SVC;955.0;988.0;436.0;397.0;338.0;336.0;61.0;98.0;80.91;61.9;0.78;0.15;0.85;0.78;0.81;0.85;0.22;0.77;0.85;0.81
734;2017_08_02_11:13:48;SVC;955.0;988.0;436.0;397.0;0.0;397.0;0.0;436.0;47.66;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.48;1.0;0.65
735;2017_08_02_11:13:48;SVC;955.0;988.0;436.0;397.0;8.0;397.0;0.0;428.0;48.62;1.75;0.02;0.0;1.0;0.02;0.04;1.0;0.98;0.48;1.0;0.65
736;2017_08_02_11:13:48;SVC;955.0;988.0;436.0;397.0;330.0;309.0;88.0;106.0;76.71;53.41;0.76;0.22;0.79;0.76;0.77;0.78;0.24;0.74;0.78;0.76
737;2017_08_02_11:13:48;SGD;955.0;988.0;436.0;397.0;316.0;352.0;45.0;120.0;80.19;60.63;0.72;0.11;0.88;0.72;0.79;0.89;0.28;0.75;0.89;0.81
738;2017_08_02_11:13:48;MLP;955.0;988.0;436.0;397.0;350.0;348.0;49.0;86.0;83.79;67.65;0.8;0.12;0.88;0.8;0.84;0.88;0.2;0.8;0.88;0.84
739;2017_08_02_11:13:48;RandomForest;955.0;988.0;436.0;397.0;325.0;348.0;49.0;111.0;80.79;61.77;0.75;0.12;0.87;0.75;0.81;0.88;0.25;0.76;0.88;0.82
740;2017_08_02_11:13:48;AdaBoost;955.0;988.0;436.0;397.0;225.0;369.0;28.0;211.0;71.31;43.65;0.52;0.07;0.89;0.52;0.66;0.93;0.48;0.64;0.93;0.76
741;2017_08_02_11:13:48;Vote;955.0;988.0;436.0;397.0;356.0;354.0;43.0;80.0;85.23;70.53;0.82;0.11;0.89;0.82;0.85;0.89;0.18;0.82;0.89;0.85
742;2017_08_02_11:00:01;LogisticRegression;965.0;978.0;426.0;407.0;355.0;349.0;58.0;71.0;84.51;69.03;0.83;0.14;0.86;0.83;0.84;0.86;0.17;0.83;0.86;0.84
743;2017_08_02_11:00:01;NaiveBayes;965.0;978.0;426.0;407.0;389.0;334.0;73.0;37.0;86.79;73.52;0.91;0.18;0.84;0.91;0.87;0.82;0.09;0.9;0.82;0.86
744;2017_08_02_11:00:01;MultinomialNB;965.0;978.0;426.0;407.0;390.0;331.0;76.0;36.0;86.55;73.04;0.92;0.19;0.84;0.92;0.88;0.81;0.08;0.9;0.81;0.85
745;2017_08_02_11:00:01;BernoulliNB;965.0;978.0;426.0;407.0;389.0;335.0;72.0;37.0;86.91;73.77;0.91;0.18;0.84;0.91;0.87;0.82;0.09;0.9;0.82;0.86
746;2017_08_02_11:00:01;LinearSVC;965.0;978.0;426.0;407.0;354.0;342.0;65.0;72.0;83.55;67.1;0.83;0.16;0.84;0.83;0.83;0.84;0.17;0.83;0.84;0.83
747;2017_08_02_11:00:01;SVC;965.0;978.0;426.0;407.0;356.0;341.0;66.0;70.0;83.67;67.34;0.84;0.16;0.84;0.84;0.84;0.84;0.16;0.83;0.84;0.83
748;2017_08_02_11:00:01;SVC;965.0;978.0;426.0;407.0;0.0;407.0;0.0;426.0;48.86;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.49;1.0;0.66
749;2017_08_02_11:00:01;SVC;965.0;978.0;426.0;407.0;12.0;407.0;0.0;414.0;50.3;2.75;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.5;1.0;0.67
750;2017_08_02_11:00:01;SVC;965.0;978.0;426.0;407.0;326.0;316.0;91.0;100.0;77.07;54.14;0.77;0.22;0.78;0.77;0.77;0.78;0.23;0.76;0.78;0.77
751;2017_08_02_11:00:01;SGD;965.0;978.0;426.0;407.0;355.0;334.0;73.0;71.0;82.71;65.4;0.83;0.18;0.83;0.83;0.83;0.82;0.17;0.82;0.82;0.82
752;2017_08_02_11:00:01;MLP;965.0;978.0;426.0;407.0;354.0;345.0;62.0;72.0;83.91;67.83;0.83;0.15;0.85;0.83;0.84;0.85;0.17;0.83;0.85;0.84
753;2017_08_02_11:00:01;RandomForest;965.0;978.0;426.0;407.0;328.0;352.0;55.0;98.0;81.63;63.33;0.77;0.14;0.86;0.77;0.81;0.86;0.23;0.78;0.86;0.82
754;2017_08_02_11:00:01;AdaBoost;965.0;978.0;426.0;407.0;255.0;366.0;41.0;171.0;74.55;49.43;0.6;0.1;0.86;0.6;0.71;0.9;0.4;0.68;0.9;0.77
755;2017_08_02_11:00:01;Vote;965.0;978.0;426.0;407.0;362.0;347.0;60.0;64.0;85.11;70.22;0.85;0.15;0.86;0.85;0.85;0.85;0.15;0.84;0.85;0.84
756;2017_08_02_10:47:02;LogisticRegression;968.0;975.0;423.0;410.0;362.0;344.0;66.0;61.0;84.75;69.49;0.86;0.16;0.85;0.86;0.85;0.84;0.14;0.85;0.84;0.84
757;2017_08_02_10:47:02;NaiveBayes;968.0;975.0;423.0;410.0;382.0;337.0;73.0;41.0;86.31;72.59;0.9;0.18;0.84;0.9;0.87;0.82;0.1;0.89;0.82;0.85
758;2017_08_02_10:47:02;MultinomialNB;968.0;975.0;423.0;410.0;382.0;329.0;81.0;41.0;85.35;70.66;0.9;0.2;0.83;0.9;0.86;0.8;0.1;0.89;0.8;0.84
759;2017_08_02_10:47:02;BernoulliNB;968.0;975.0;423.0;410.0;382.0;335.0;75.0;41.0;86.07;72.11;0.9;0.18;0.84;0.9;0.87;0.82;0.1;0.89;0.82;0.85
760;2017_08_02_10:47:02;LinearSVC;968.0;975.0;423.0;410.0;355.0;332.0;78.0;68.0;82.47;64.92;0.84;0.19;0.82;0.84;0.83;0.81;0.16;0.83;0.81;0.82
761;2017_08_02_10:47:02;SVC;968.0;975.0;423.0;410.0;356.0;329.0;81.0;67.0;82.23;64.44;0.84;0.2;0.81;0.84;0.82;0.8;0.16;0.83;0.8;0.81
762;2017_08_02_10:47:02;SVC;968.0;975.0;423.0;410.0;0.0;410.0;0.0;423.0;49.22;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.49;1.0;0.66
763;2017_08_02_10:47:02;SVC;968.0;975.0;423.0;410.0;13.0;410.0;0.0;410.0;50.78;3.03;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.5;1.0;0.67
764;2017_08_02_10:47:02;SVC;968.0;975.0;423.0;410.0;327.0;328.0;82.0;96.0;78.63;57.27;0.77;0.2;0.8;0.77;0.78;0.8;0.23;0.77;0.8;0.78
765;2017_08_02_10:47:02;SGD;968.0;975.0;423.0;410.0;334.0;346.0;64.0;89.0;81.63;63.29;0.79;0.16;0.84;0.79;0.81;0.84;0.21;0.8;0.84;0.82
766;2017_08_02_10:47:02;MLP;968.0;975.0;423.0;410.0;360.0;343.0;67.0;63.0;84.39;68.78;0.85;0.16;0.84;0.85;0.84;0.84;0.15;0.84;0.84;0.84
767;2017_08_02_10:47:02;RandomForest;968.0;975.0;423.0;410.0;323.0;354.0;56.0;100.0;81.27;62.6;0.76;0.14;0.85;0.76;0.8;0.86;0.24;0.78;0.86;0.82
768;2017_08_02_10:47:02;AdaBoost;968.0;975.0;423.0;410.0;248.0;374.0;36.0;175.0;74.67;49.59;0.59;0.09;0.87;0.59;0.7;0.91;0.41;0.68;0.91;0.78
769;2017_08_02_10:47:02;Vote;968.0;975.0;423.0;410.0;362.0;348.0;62.0;61.0;85.23;70.46;0.86;0.15;0.85;0.86;0.85;0.85;0.14;0.85;0.85;0.85
770;2017_08_02_10:30:23;LogisticRegression;987.0;956.0;404.0;429.0;357.0;363.0;66.0;47.0;86.43;72.88;0.88;0.15;0.84;0.88;0.86;0.85;0.12;0.89;0.85;0.87
771;2017_08_02_10:30:23;NaiveBayes;987.0;956.0;404.0;429.0;376.0;348.0;81.0;28.0;86.91;73.91;0.93;0.19;0.82;0.93;0.87;0.81;0.07;0.93;0.81;0.87
772;2017_08_02_10:30:23;MultinomialNB;987.0;956.0;404.0;429.0;377.0;343.0;86.0;27.0;86.43;72.96;0.93;0.2;0.81;0.93;0.87;0.8;0.07;0.93;0.8;0.86
773;2017_08_02_10:30:23;BernoulliNB;987.0;956.0;404.0;429.0;378.0;341.0;88.0;26.0;86.31;72.73;0.94;0.21;0.81;0.94;0.87;0.79;0.06;0.93;0.79;0.85
774;2017_08_02_10:30:23;LinearSVC;987.0;956.0;404.0;429.0;353.0;366.0;63.0;51.0;86.31;72.63;0.87;0.15;0.85;0.87;0.86;0.85;0.13;0.88;0.85;0.86
775;2017_08_02_10:30:23;SVC;987.0;956.0;404.0;429.0;359.0;359.0;70.0;45.0;86.19;72.41;0.89;0.16;0.84;0.89;0.86;0.84;0.11;0.89;0.84;0.86
776;2017_08_02_10:30:23;SVC;987.0;956.0;404.0;429.0;404.0;0.0;429.0;0.0;48.5;0.0;1.0;1.0;0.48;1.0;0.65;0.0;0.0;0.0;0.0;0.0
777;2017_08_02_10:30:23;SVC;987.0;956.0;404.0;429.0;404.0;12.0;417.0;0.0;49.94;2.72;1.0;0.97;0.49;1.0;0.66;0.03;0.0;1.0;0.03;0.06
778;2017_08_02_10:30:23;SVC;987.0;956.0;404.0;429.0;345.0;327.0;102.0;59.0;80.67;61.43;0.85;0.24;0.77;0.85;0.81;0.76;0.15;0.85;0.76;0.8
779;2017_08_02_10:30:23;SGD;987.0;956.0;404.0;429.0;336.0;367.0;62.0;68.0;84.39;68.75;0.83;0.14;0.84;0.83;0.83;0.86;0.17;0.84;0.86;0.85
780;2017_08_02_10:30:23;MLP;987.0;956.0;404.0;429.0;357.0;358.0;71.0;47.0;85.83;71.69;0.88;0.17;0.83;0.88;0.85;0.83;0.12;0.88;0.83;0.85
781;2017_08_02_10:30:23;RandomForest;987.0;956.0;404.0;429.0;327.0;380.0;49.0;77.0;84.87;69.66;0.81;0.11;0.87;0.81;0.84;0.89;0.19;0.83;0.89;0.86
782;2017_08_02_10:30:23;AdaBoost;987.0;956.0;404.0;429.0;247.0;397.0;32.0;157.0;77.31;54.17;0.61;0.07;0.89;0.61;0.72;0.93;0.39;0.72;0.93;0.81
783;2017_08_02_10:30:23;Vote;987.0;956.0;404.0;429.0;359.0;366.0;63.0;45.0;87.03;74.08;0.89;0.15;0.85;0.89;0.87;0.85;0.11;0.89;0.85;0.87
