;time_stamp;Name;Kernel;feature_cnt;gamma;C;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;rauc;duration;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
213;2017_09_01_14:16:10;SVC;poly;3000;0.0001;1;964.0;958.0;416.0;409.0;416.0;0.0;409.0;0.0;50.42;0.0;50.0;27.645;1.0;1.0;0.5;1.0;0.67;0.0;0.0;0.0;0.0;0.0
214;2017_09_01_14:15:39;SVC;poly;3000;0.0001;1;955.0;967.0;425.0;400.0;0.0;400.0;0.0;425.0;48.48;0.0;50.0;25.681;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.48;1.0;0.65
215;2017_09_01_14:15:11;SVC;poly;3000;0.0001;1;980.0;942.0;400.0;425.0;400.0;0.0;425.0;0.0;48.48;0.0;50.0;23.684;1.0;1.0;0.48;1.0;0.65;0.0;0.0;0.0;0.0;0.0
216;2017_09_01_14:14:44;SVC;poly;3000;0.0001;1;973.0;949.0;407.0;418.0;407.0;0.0;418.0;0.0;49.33;0.0;50.0;23.825;1.0;1.0;0.49;1.0;0.66;0.0;0.0;0.0;0.0;0.0
217;2017_09_01_14:14:17;SVC;poly;3000;0.0001;1;955.0;967.0;425.0;400.0;0.0;400.0;0.0;425.0;48.48;0.0;50.0;23.862;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.48;1.0;0.65
218;2017_09_01_14:13:50;SVC;poly;3000;0.0001;1;967.0;955.0;413.0;412.0;413.0;0.0;412.0;0.0;50.06;0.0;50.0;26.866;1.0;1.0;0.5;1.0;0.67;0.0;0.0;0.0;0.0;0.0
219;2017_09_01_14:13:20;SVC;poly;3000;0.0001;1;947.0;975.0;433.0;392.0;0.0;392.0;0.0;433.0;47.52;0.0;50.0;29.185;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.48;1.0;0.65
220;2017_09_01_14:12:47;SVC;poly;3000;0.001;1;987.0;935.0;393.0;432.0;393.0;0.0;432.0;0.0;47.64;0.0;50.0;27.689;1.0;1.0;0.48;1.0;0.65;0.0;0.0;0.0;0.0;0.0
221;2017_09_01_14:12:16;SVC;poly;3000;0.001;1;971.0;951.0;409.0;416.0;409.0;0.0;416.0;0.0;49.58;0.0;50.0;28.301;1.0;1.0;0.5;1.0;0.67;0.0;0.0;0.0;0.0;0.0
222;2017_09_01_14:11:44;SVC;poly;3000;0.001;1;949.0;973.0;431.0;394.0;0.0;394.0;0.0;431.0;47.76;0.0;50.0;27.914;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.48;1.0;0.65
223;2017_09_01_14:11:13;SVC;poly;3000;0.001;1;975.0;947.0;405.0;420.0;405.0;0.0;420.0;0.0;49.09;0.0;50.0;27.909000000000002;1.0;1.0;0.49;1.0;0.66;0.0;0.0;0.0;0.0;0.0
224;2017_09_01_14:10:41;SVC;poly;3000;0.001;1;956.0;966.0;424.0;401.0;0.0;401.0;0.0;424.0;48.61;0.0;50.0;27.756;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.49;1.0;0.66
225;2017_09_01_14:10:10;SVC;poly;3000;0.001;1;962.0;960.0;418.0;407.0;418.0;0.0;407.0;0.0;50.67;0.0;50.0;28.123;1.0;1.0;0.51;1.0;0.68;0.0;0.0;0.0;0.0;0.0
226;2017_09_01_14:09:38;SVC;poly;3000;0.001;1;969.0;953.0;411.0;414.0;411.0;0.0;414.0;0.0;49.82;0.0;50.0;27.856;1.0;1.0;0.5;1.0;0.67;0.0;0.0;0.0;0.0;0.0
227;2017_09_01_14:09:07;SVC;poly;3000;0.001;1;959.0;963.0;421.0;404.0;0.0;404.0;0.0;421.0;48.97;0.0;50.0;28.108;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.49;1.0;0.66
228;2017_09_01_14:08:35;SVC;poly;3000;0.001;1;980.0;942.0;400.0;425.0;400.0;0.0;425.0;0.0;48.48;0.0;50.0;27.686;1.0;1.0;0.48;1.0;0.65;0.0;0.0;0.0;0.0;0.0
229;2017_09_01_14:08:04;SVC;poly;3000;0.001;1;952.0;970.0;428.0;397.0;0.0;397.0;0.0;428.0;48.12;0.0;50.0;27.803;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.48;1.0;0.65
230;2017_09_01_14:07:32;SVC;poly;3000;0.1;1;978.0;944.0;402.0;423.0;398.0;155.0;268.0;4.0;67.03;35.08;67.82;31.332;0.99;0.63;0.6;0.99;0.75;0.37;0.01;0.97;0.37;0.54
231;2017_09_01_14:06:56;SVC;poly;3000;0.1;1;960.0;962.0;420.0;405.0;104.0;402.0;3.0;316.0;61.33;23.69;62.01;37.7;0.25;0.01;0.97;0.25;0.4;0.99;0.75;0.56;0.99;0.72
232;2017_09_01_14:06:15;SVC;poly;3000;0.1;1;912.0;1010.0;468.0;357.0;29.0;357.0;0.0;439.0;46.79;5.41;53.1;28.088;0.06;0.0;1.0;0.06;0.11;1.0;0.94;0.45;1.0;0.62
233;2017_09_01_14:05:43;SVC;poly;3000;0.1;1;987.0;935.0;393.0;432.0;393.0;58.0;374.0;0.0;54.67;12.87;56.71;31.206;1.0;0.87;0.51;1.0;0.68;0.13;0.0;1.0;0.13;0.23
234;2017_09_01_14:05:09;SVC;poly;3000;0.1;1;969.0;953.0;411.0;414.0;176.0;405.0;9.0;235.0;70.42;40.73;70.32;28.15;0.43;0.02;0.95;0.43;0.59;0.98;0.57;0.63;0.98;0.77
235;2017_09_01_14:04:37;SVC;poly;3000;0.1;1;974.0;948.0;406.0;419.0;382.0;289.0;130.0;24.0;81.33;62.81;81.53;34.893;0.94;0.31;0.75;0.94;0.83;0.69;0.06;0.92;0.69;0.79
236;2017_09_01_14:03:58;SVC;poly;3000;0.1;1;960.0;962.0;420.0;405.0;77.0;401.0;4.0;343.0;57.94;17.09;58.67;29.764;0.18;0.01;0.95;0.18;0.3;0.99;0.82;0.54;0.99;0.7
237;2017_09_01_14:03:25;SVC;poly;3000;0.1;1;988.0;934.0;392.0;433.0;392.0;45.0;388.0;0.0;52.97;9.93;55.2;36.845;1.0;0.9;0.5;1.0;0.67;0.1;0.0;1.0;0.1;0.18
238;2017_09_01_14:02:45;SVC;poly;3000;0.1;1;953.0;969.0;427.0;398.0;58.0;393.0;5.0;369.0;54.67;11.96;56.16;32.009;0.14;0.01;0.92;0.14;0.24;0.99;0.86;0.52;0.99;0.68
239;2017_09_01_14:02:10;SVC;poly;3000;0.1;1;949.0;973.0;431.0;394.0;47.0;389.0;5.0;384.0;52.85;9.25;54.82;29.615;0.11;0.01;0.9;0.11;0.2;0.99;0.89;0.5;0.99;0.66
