;id;timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA
0;866661103203360768;2017_06_08 15:52:51;[ 0.8601223];[1];[2];[2];[ 5.14456303];[1];[2];[2];[1];[1];[2]
0;866668601419456512;2017_06_08 15:52:52;[ 0.8634857];[1];[1];[2];[ 58.60055575];[1];[1];[1];[1];[1];[2]
0;866668290290184192;2017_06_08 15:52:53;[ 1.00099268];[1];[1];[2];[ 601.31831517];[1];[1];[2];[1];[1];[2]
0;866630898715947009;2017_06_08 15:52:54;[ 0.93527909];[2];[1];[2];[ 56.82728672];[2];[2];[1];[1];[2];[2]
0;869132139186573312;2017_06_08 15:52:55;[ 1.19259811];[1];[1];[2];[ 4.27668338];[1];[2];[2];[1];[1];[2]
0;860779411116888064;2017_06_08 15:52:56;[ 1.10074437];[1];[2];[2];[ 4.66173497];[1];[2];[2];[2];[1];[2]
0;869140128438136832;2017_06_08 15:52:57;[ 1.31897298];[2];[1];[2];[-1.30984359];[2];[2];[2];[1];[2];[2]
0;866661103203360768;2017_06_08 15:52:32;[ 0.89414069];[2];[2];[2];[-6.84795774];[1];[2];[2];[1];[1];[1]
0;866668601419456512;2017_06_08 15:52:34;[ 0.89991375];[2];[1];[2];[-1671.78250143];[1];[2];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:52:35;[ 1.03016701];[1];[1];[2];[-10638.73992205];[1];[1];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:52:35;[ 0.96662769];[2];[1];[2];[-951.49900971];[1];[2];[1];[1];[2];[1]
0;869132139186573312;2017_06_08 15:52:36;[ 1.22281766];[2];[1];[2];[ 2.13310587];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:52:37;[ 1.13127054];[2];[2];[2];[ 2.19818732];[1];[2];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:52:38;[ 1.35886454];[2];[1];[2];[ 3.24197984];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:52:13;[ 0.87726998];[2];[2];[2];[ 0.57774349];[1];[1];[2];[1];[1];[1]
0;866668601419456512;2017_06_08 15:52:14;[ 0.88426831];[2];[1];[2];[-442.9765245];[1];[1];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:52:15;[ 1.0052875];[1];[1];[2];[-2771.39300861];[1];[1];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:52:15;[ 0.94768778];[2];[1];[2];[-246.22415993];[1];[1];[1];[1];[2];[1]
0;869132139186573312;2017_06_08 15:52:16;[ 1.20812904];[2];[1];[2];[ 2.79301297];[1];[2];[1];[1];[1];[1]
0;860779411116888064;2017_06_08 15:52:18;[ 1.10353195];[2];[2];[2];[ 2.97160645];[1];[2];[2];[1];[1];[1]
0;869140128438136832;2017_06_08 15:52:18;[ 1.31928935];[2];[1];[2];[ 2.15840417];[2];[2];[1];[1];[2];[1]
