;id;created_at;retweet_count
0;8.514054752622469e+17;Mon Apr 10 12:04:18 +0000 2017;0.0
1;8.514053586146796e+17;Mon Apr 10 12:03:50 +0000 2017;0.0
2;8.514055603900047e+17;Mon Apr 10 12:04:38 +0000 2017;0.0
3;8.514053779588014e+17;Mon Apr 10 12:03:55 +0000 2017;1.0
4;8.514054535108116e+17;Mon Apr 10 12:04:13 +0000 2017;0.0
5;8.51406061982679e+17;Mon Apr 10 12:06:38 +0000 2017;0.0
6;8.514055776747889e+17;Mon Apr 10 12:04:42 +0000 2017;0.0
7;8.514054157704438e+17;Mon Apr 10 12:04:04 +0000 2017;1.0
8;8.514054736854098e+17;Mon Apr 10 12:04:17 +0000 2017;2.0
9;8.514055331270369e+17;Mon Apr 10 12:04:32 +0000 2017;0.0
10;8.514053749808046e+17;Mon Apr 10 12:03:54 +0000 2017;0.0
11;8.514055133131776e+17;Mon Apr 10 12:04:27 +0000 2017;1.0
12;8.514054813022577e+17;Mon Apr 10 12:04:19 +0000 2017;0.0
13;8.51405383776301e+17;Mon Apr 10 12:03:56 +0000 2017;0.0
14;8.514055658844979e+17;Mon Apr 10 12:04:39 +0000 2017;0.0
15;8.514061962926694e+17;Mon Apr 10 12:07:10 +0000 2017;0.0
16;8.514054696840274e+17;Mon Apr 10 12:04:16 +0000 2017;2.0
17;8.514054525502546e+17;Mon Apr 10 12:04:12 +0000 2017;0.0
18;8.51405531847721e+17;Mon Apr 10 12:04:31 +0000 2017;0.0
19;8.514053916195553e+17;Mon Apr 10 12:03:58 +0000 2017;0.0
20;8.514053594283622e+17;Mon Apr 10 12:03:50 +0000 2017;0.0
21;8.51405444950184e+17;Mon Apr 10 12:04:11 +0000 2017;0.0
22;8.514054610521539e+17;Mon Apr 10 12:04:14 +0000 2017;0.0
23;8.51405486947799e+17;Mon Apr 10 12:04:21 +0000 2017;0.0
24;8.51406200793047e+17;Mon Apr 10 12:07:11 +0000 2017;0.0
25;8.51406182703149e+17;Mon Apr 10 12:07:06 +0000 2017;0.0
26;8.514061927317258e+17;Mon Apr 10 12:07:09 +0000 2017;3.0
27;8.514055832406221e+17;Mon Apr 10 12:04:44 +0000 2017;0.0
28;8.514054190084588e+17;Mon Apr 10 12:04:04 +0000 2017;0.0
29;8.514054218604872e+17;Mon Apr 10 12:04:05 +0000 2017;0.0
30;8.514053625573253e+17;Mon Apr 10 12:03:51 +0000 2017;1.0
31;8.514053670450872e+17;Mon Apr 10 12:03:52 +0000 2017;0.0
32;8.51405452252459e+17;Mon Apr 10 12:04:12 +0000 2017;0.0
33;8.514054481504952e+17;Mon Apr 10 12:04:11 +0000 2017;0.0
34;8.514060471558021e+17;Mon Apr 10 12:06:34 +0000 2017;0.0
35;8.514060696288993e+17;Mon Apr 10 12:06:40 +0000 2017;1.0
36;8.514053641972818e+17;Mon Apr 10 12:03:51 +0000 2017;0.0
37;8.514060586859438e+17;Mon Apr 10 12:06:37 +0000 2017;0.0
38;8.514055091103867e+17;Mon Apr 10 12:04:26 +0000 2017;0.0
39;8.514055006463877e+17;Mon Apr 10 12:04:24 +0000 2017;0.0
40;8.514054560357745e+17;Mon Apr 10 12:04:13 +0000 2017;0.0
41;8.514053921942651e+17;Mon Apr 10 12:03:58 +0000 2017;0.0
42;8.514054704012534e+17;Mon Apr 10 12:04:17 +0000 2017;0.0
43;8.514053799049626e+17;Mon Apr 10 12:03:55 +0000 2017;0.0
44;8.514060505698796e+17;Mon Apr 10 12:06:35 +0000 2017;0.0
45;8.5140555077666e+17;Mon Apr 10 12:04:36 +0000 2017;0.0
46;8.514055566529454e+17;Mon Apr 10 12:04:37 +0000 2017;0.0
47;8.514055346327265e+17;Mon Apr 10 12:04:32 +0000 2017;0.0
48;8.514054935747871e+17;Mon Apr 10 12:04:22 +0000 2017;0.0
49;8.51405368542593e+17;Mon Apr 10 12:03:52 +0000 2017;0.0
50;8.514055704941363e+17;Mon Apr 10 12:04:41 +0000 2017;0.0
51;8.514054405755781e+17;Mon Apr 10 12:04:10 +0000 2017;0.0
52;8.514062059688428e+17;Mon Apr 10 12:07:12 +0000 2017;0.0
53;8.51405558599082e+17;Mon Apr 10 12:04:38 +0000 2017;0.0
54;8.514054851190866e+17;Mon Apr 10 12:04:20 +0000 2017;1.0
55;8.514055550423163e+17;Mon Apr 10 12:04:37 +0000 2017;0.0
56;8.514053601369784e+17;Mon Apr 10 12:03:50 +0000 2017;0.0
57;8.514062076675809e+17;Mon Apr 10 12:07:12 +0000 2017;0.0
58;8.514054154852516e+17;Mon Apr 10 12:04:04 +0000 2017;0.0
59;8.514055357611172e+17;Mon Apr 10 12:04:32 +0000 2017;0.0
60;8.514054156403876e+17;Mon Apr 10 12:04:04 +0000 2017;0.0
61;8.514055774273126e+17;Mon Apr 10 12:04:42 +0000 2017;0.0
62;8.514053971896812e+17;Mon Apr 10 12:03:59 +0000 2017;0.0
63;8.514055072733471e+17;Mon Apr 10 12:04:25 +0000 2017;0.0
64;8.514054588837028e+17;Mon Apr 10 12:04:14 +0000 2017;0.0
65;8.514054211139871e+17;Mon Apr 10 12:04:05 +0000 2017;0.0
66;8.514061768645263e+17;Mon Apr 10 12:07:05 +0000 2017;0.0
67;8.514053650947768e+17;Mon Apr 10 12:03:52 +0000 2017;0.0
68;8.514053566349763e+17;Mon Apr 10 12:03:50 +0000 2017;0.0
69;8.514055036116541e+17;Mon Apr 10 12:04:25 +0000 2017;0.0
70;8.514061978528236e+17;Mon Apr 10 12:07:10 +0000 2017;0.0
71;8.514055459532677e+17;Mon Apr 10 12:04:35 +0000 2017;0.0
72;8.51405470392877e+17;Mon Apr 10 12:04:17 +0000 2017;2.0
